Epoch [221/300], Train Loss: 0.001303, Val Loss: 0.001372, Epoch Time: 349.99s
Epoch [222/300], Train Loss: 0.001269, Val Loss: 0.001371, Epoch Time: 348.58s
Epoch [223/300], Train Loss: 0.001229, Val Loss: 0.001306, Epoch Time: 338.54s
Epoch [224/300], Train Loss: 0.001272, Val Loss: 0.001341, Epoch Time: 348.73s
Epoch [225/300], Train Loss: 0.001252, Val Loss: 0.001346, Epoch Time: 339.88s
Epoch [226/300], Train Loss: 0.001256, Val Loss: 0.001355, Epoch Time: 353.49s
Epoch [227/300], Train Loss: 0.001234, Val Loss: 0.001315, Epoch Time: 358.27s
Epoch [228/300], Train Loss: 0.001239, Val Loss: 0.001336, Epoch Time: 362.12s
Epoch [229/300], Train Loss: 0.001202, Val Loss: 0.001316, Epoch Time: 347.04s
Epoch [230/300], Train Loss: 0.001246, Val Loss: 0.001362, Epoch Time: 357.46s
Epoch [231/300], Train Loss: 0.001207, Val Loss: 0.001317, Epoch Time: 351.44s
Epoch [232/300], Train Loss: 0.001226, Val Loss: 0.001304, Epoch Time: 359.33s
Epoch [233/300], Train Loss: 0.001224, Val Loss: 0.001299, Epoch Time: 355.75s
Epoch [234/300], Train Loss: 0.001227, Val Loss: 0.001300, Epoch Time: 349.98s
Epoch [235/300], Train Loss: 0.001248, Val Loss: 0.001307, Epoch Time: 341.36s
Epoch [236/300], Train Loss: 0.001218, Val Loss: 0.001280, Epoch Time: 364.73s
Epoch [237/300], Train Loss: 0.001217, Val Loss: 0.001283, Epoch Time: 345.46s
Epoch [238/300], Train Loss: 0.001215, Val Loss: 0.001290, Epoch Time: 360.65s
Epoch [239/300], Train Loss: 0.001211, Val Loss: 0.001284, Epoch Time: 346.16s
Epoch [240/300], Train Loss: 0.001203, Val Loss: 0.001279, Epoch Time: 352.48s
Epoch [241/300], Train Loss: 0.001211, Val Loss: 0.001270, Epoch Time: 346.65s
Epoch [242/300], Train Loss: 0.001188, Val Loss: 0.001278, Epoch Time: 359.78s
Epoch [243/300], Train Loss: 0.001214, Val Loss: 0.001277, Epoch Time: 347.45s
Epoch [244/300], Train Loss: 0.001214, Val Loss: 0.001281, Epoch Time: 361.97s
Epoch [245/300], Train Loss: 0.001225, Val Loss: 0.001283, Epoch Time: 351.76s
Epoch [246/300], Train Loss: 0.001205, Val Loss: 0.001265, Epoch Time: 356.19s
Epoch [247/300], Train Loss: 0.001194, Val Loss: 0.001269, Epoch Time: 358.88s
Epoch [248/300], Train Loss: 0.001213, Val Loss: 0.001273, Epoch Time: 344.12s
Epoch [249/300], Train Loss: 0.001215, Val Loss: 0.001264, Epoch Time: 355.47s
